爱怀旧高清,rtp://239.93.42.21:5140
爱喜剧高清,rtp://239.93.42.9:5140
爱奇谈高清,rtp://239.93.42.22:5140
爱科幻高清,rtp://239.93.42.10:5140
爱院线高清,rtp://239.93.42.11:5140
幸福剧场,rtp://239.93.42.30:5140
爱谍战高清,rtp://239.93.42.14:5140
爱经典高清,rtp://239.93.42.13:5140
爱悬疑高清,rtp://239.93.42.12:5140
爱青春高清,rtp://239.93.42.16:5140
爱都市高清,rtp://239.93.42.15:5140
少儿天地,rtp://239.93.42.34:5140
爱幼教高清,rtp://239.93.42.17:5140
爱玩具高清,rtp://239.93.42.18:5140
爱动漫高清,rtp://239.93.42.23:5140
求索频道高清,rtp://239.93.42.24:5140
爱电竞高清,rtp://239.93.42.19:5140
爱赛车高清,rtp://239.93.42.20:5140
爱宠宠物,rtp://239.93.42.32:5140
风尚生活,rtp://239.93.42.29:5140
幸福娱乐,rtp://239.93.42.31:5140
来钓鱼吧,rtp://239.93.42.8:5140
麻辣体育,rtp://239.93.42.2:5140
绚影4K,rtp://239.93.42.33:5140
中国体育1,rtp://239.93.42.25:5140
中国体育2,rtp://239.93.42.26:5140
中国体育3,rtp://239.93.42.27:5140
绚影4K,rtp://239.93.42.33:5140
纯享4K 20M2160,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226825/index.m3u8
芒果TV 15M2160,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226887/index.m3u8
南平1 8M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227066/index.m3u8
南平2 8M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226956/index.m3u8
黑莓动画 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225878/index.m3u8
黑莓电竞 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226676/index.m3u8
NewTV动作电影 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225879/index.m3u8
NewTV古装剧场 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225880/index.m3u8
NewTV家庭剧场 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225882/index.m3u8
NewTV惊悚悬疑 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225885/index.m3u8
NewTV潮妈辣婆 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226107/index.m3u8
NewTV超级体育 8M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225925/index.m3u8
NewTV超级电影 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225804/index.m3u8
NewTV超级电影 8M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225926/index.m3u8
NewTV超级电视剧 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225806/index.m3u8
NewTV超级综艺 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225801/index.m3u8
NewTV金牌综艺 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225884/index.m3u8
NewTV海外剧场 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225881/index.m3u8
SiTV动漫秀场 8M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226141/index.m3u8
SiTV动漫秀场 8M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227021/index.m3u8
SiTV极速汽车 8M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227017/index.m3u8
SiTV欢笑剧场 8M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226729/index.m3u8
